date,treatment,tunnel,plant ID,crown no.,vampiri no.,leaf no.,inflorescence no.,flower no.,fruit no.,petiole length mean (cm),,,
23/04/2025,shaded,S1,5,,,19,3,6,,,,,
23/04/2025,shaded,S2,1,,,21,5,4,,,,,
23/04/2025,shaded,S2,2,,,14,2,6,,,,,
23/04/2025,shaded,S2,3,,,26,4,10,,,,,
23/04/2025,shaded,S2,4,,,28,7,10,,,,,
23/04/2025,shaded,S2,5,,,17,2,6,,,,,
23/04/2025,shaded,S3,1,,,24,9,8,,,,,
23/04/2025,shaded,S3,2,,,17,3,7,,,,,
23/04/2025,shaded,S3,3,,,28,5,9,,,,,
23/04/2025,shaded,S3,4,,,22,4,14,,,,,
23/04/2025,shaded,S3,5,,,24,3,9,,,,,
23/04/2025,control,C1,1,,,29,8,7,,,,,
23/04/2025,control,C1,2,,,28,5,13,,,,,
23/04/2025,control,C1,3,,,32,8,11,,,,,
23/04/2025,control,C1,4,,,22,5,4,,,,,
23/04/2025,control,C1,5,,,23,3,6,,,,,
23/04/2025,control,C2,1,,,34,7,9,,,,,
23/04/2025,control,C2,2,,,26,5,9,,,,,
23/04/2025,control,C2,3,,,25,5,6,,,,,
23/04/2025,control,C2,4,,,32,7,19,,,,,
23/04/2025,control,C2,5,,,27,6,8,,,,,
23/04/2025,control,C3,1,,,22,5,8,,,,,
23/04/2025,control,C3,2,,,21,7,13,,,,,
23/04/2025,control,C3,3,,,24,8,9,,,,,
23/04/2025,control,C3,4,,,23,4,14,,,,,
23/04/2025,control,C3,5,,,21,3,7,,,,,
30/04/2025,shaded,S1,1,,,,,,,21.47083333,,,
30/04/2025,shaded,S1,2,,,,,,,23.17272727,,,
30/04/2025,shaded,S1,3,,,,,,,23.96428571,,,
30/04/2025,shaded,S1,4,,,,,,,24.85,,,
30/04/2025,shaded,S1,5,,,,,,,23.58888889,,,
30/04/2025,shaded,S2,1,,,,,,,21.975,,,
30/04/2025,shaded,S2,2,,,,,,,25.64545455,,,
30/04/2025,shaded,S2,3,,,,,,,23.08125,,,
30/04/2025,shaded,S2,4,,,,,,,26.38823529,,,
30/04/2025,shaded,S2,5,,,,,,,25.61538462,,,
30/04/2025,shaded,S3,1,,,,,,,26.15909091,,,
30/04/2025,shaded,S3,2,,,,,,,25.87142857,,,
30/04/2025,shaded,S3,3,,,,,,,25.15,,,
30/04/2025,shaded,S3,4,,,,,,,24.56111111,,,
30/04/2025,shaded,S3,5,,,,,,,24.64117647,,,
30/04/2025,control,C1,1,,,,,,,24.62,,,
30/04/2025,control,C1,2,,,,,,,25.96206897,,,
30/04/2025,control,C1,3,,,,,,,25.54137931,,,
30/04/2025,control,C1,4,,,,,,,24.06,,,
30/04/2025,control,C1,5,,,,,,,25.81363636,,,
30/04/2025,control,C2,1,,,,,,,25.07826087,,,
30/04/2025,control,C2,2,,,,,,,24.40555556,,,
30/04/2025,control,C2,3,,,,,,,26.3,,,
30/04/2025,control,C2,4,,,,,,,27.62380952,,,
30/04/2025,control,C2,5,,,,,,,23.8,,,
30/04/2025,control,C3,1,,,,,,,24.08571429,,,
30/04/2025,control,C3,2,,,,,,,24.155,,,
30/04/2025,control,C3,3,,,,,,,25.32222222,,,
30/04/2025,control,C3,4,,,,,,,24.00454545,,,
30/04/2025,control,C3,5,,,,,,,23.32941176,,,
08/05/2025,shaded,S1,1,,,20,8,8,19,35.6,,,
08/05/2025,shaded,S1,2,,,16,3,1,13,31.18,,,
08/05/2025,shaded,S1,3,,,56,12,20,36,34.76,,,
08/05/2025,shaded,S1,4,,,28,6,4,22,35.12,,,
08/05/2025,shaded,S1,5,,,19,4,1,20,30.98,,,
08/05/2025,shaded,S2,1,,,22,6,10,17,29.84,,,
08/05/2025,shaded,S2,2,,,15,3,2,12,37.16,,,
08/05/2025,shaded,S2,3,,,24,10,6,21,26.72,,,
08/05/2025,shaded,S2,4,,,36,8,12,34,33.9,,,
08/05/2025,shaded,S2,5,,,20,7,7,15,32.58,,,
08/05/2025,shaded,S3,1,,,30,8,13,18,35.5,,,
08/05/2025,shaded,S3,2,,,20,7,8,19,34.24,,,
08/05/2025,shaded,S3,3,,,37,13,11,36,34.56,,,
08/05/2025,shaded,S3,4,,,19,9,8,24,31.62,,,
08/05/2025,shaded,S3,5,,,29,9,8,26,34.94,,,
08/05/2025,control,C1,1,,,40,9,11,34,32.44,,,
08/05/2025,control,C1,2,,,36,10,11,36,32.12,,,
08/05/2025,control,C1,3,,,39,9,9,34,32.22,,,
08/05/2025,control,C1,4,,,30,5,2,30,35.16,,,
08/05/2025,control,C1,5,,,23,6,8,23,33.88,,,
08/05/2025,control,C2,1,,,35,12,16,37,36.98,,,
08/05/2025,control,C2,2,,,31,3,2,11,29.98,,,
08/05/2025,control,C2,3,,,43,8,5,33,33.02,,,
08/05/2025,control,C2,4,,,27,9,3,46,37.54,,,
08/05/2025,control,C2,5,,,31,11,9,33,32.72,,,
08/05/2025,control,C3,1,,,19,4,1,28,34.74,,,
08/05/2025,control,C3,2,,,33,6,4,31,35.3,,,
08/05/2025,control,C3,3,,,26,12,8,47,34.66,,,
08/05/2025,control,C3,4,,,26,8,7,23,35.28,,,
08/05/2025,control,C3,5,,,17,9,7,23,31.36,,,
20/05/2025,shaded,S1,1,,,21,8,9,30,33.38,,,
20/05/2025,shaded,S1,2,,,17,3,0,17,32.92,,,
20/05/2025,shaded,S1,3,,,61,18,5,74,35.12,,,
20/05/2025,shaded,S1,4,,,34,7,0,31,38.14,,,
20/05/2025,shaded,S1,5,,,22,5,1,24,36.72,,,
20/05/2025,shaded,S2,1,,,23,5,0,31,35.28,,,
20/05/2025,shaded,S2,2,,,16,2,1,12,36.78,,,
20/05/2025,shaded,S2,3,,,26,8,5,29,35.66,,,
20/05/2025,shaded,S2,4,,,47,9,2,47,33.64,,,
20/05/2025,shaded,S2,5,,,20,7,0,29,33.9,,,
20/05/2025,shaded,S3,1,,,31,8,0,37,30.84,,,
20/05/2025,shaded,S3,2,,,18,8,3,33,36.86,,,
20/05/2025,shaded,S3,3,,,41,13,3,51,35.42,,,
20/05/2025,shaded,S3,4,,,23,9,3,38,33.5,,,
20/05/2025,shaded,S3,5,,,31,7,0,34,33.88,,,
20/05/2025,control,C1,1,,,41,9,0,48,34.74,,,
20/05/2025,control,C1,2,,,42,8,3,41,33.84,,,
20/05/2025,control,C1,3,,,44,10,1,49,32.66,,,
20/05/2025,control,C1,4,,,28,4,0,26,34.08,,,
20/05/2025,control,C1,5,,,31,6,0,38,36.22,,,
20/05/2025,control,C2,1,,,45,12,1,60,37.48,,,
20/05/2025,control,C2,2,,,32,5,0,20,30,,,
20/05/2025,control,C2,3,,,41,9,4,34,38.38,,,
20/05/2025,control,C2,4,,,46,10,0,53,36.18,,,
20/05/2025,control,C2,5,,,34,12,5,47,32.18,,,
20/05/2025,control,C3,1,,,24,4,0,28,33.72,,,
20/05/2025,control,C3,2,,,38,6,0,33,33.9,,,
20/05/2025,control,C3,3,,,37,8,0,52,34.4,,,
20/05/2025,control,C3,4,,,29,9,3,39,34.44,,,
20/05/2025,control,C3,5,,,24,9,1,38,34.84,,,
