date,treatment,tunnel,fruit_weight(g),firmness,acidity(meq/100g),brix(Bx%),ratio acidity/Bx
23/05/2025,control,C2,25.1,,11.73,7.6,0.647911338
23/05/2025,control,C2,29.4,,11.73,7.6,0.647911338
23/05/2025,control,C2,57.3,,11.73,7.6,0.647911338
23/05/2025,control,C2,49.3,,11.73,7.6,0.647911338
23/05/2025,control,C2,37.9,,11.73,7.6,0.647911338
23/05/2025,control,C2,53.1,,11.73,7.6,0.647911338
23/05/2025,control,C2,13.1,,11.73,7.6,0.647911338
23/05/2025,control,C3,44.1,,13.74,7.6,0.553129549
23/05/2025,control,C3,43.8,,13.74,7.6,0.553129549
23/05/2025,control,C3,27.8,,13.74,7.6,0.553129549
23/05/2025,control,C3,46,,13.74,7.6,0.553129549
23/05/2025,control,C3,47.2,,13.74,7.6,0.553129549
23/05/2025,control,C3,33.5,,13.74,7.6,0.553129549
23/05/2025,control,C3,38.5,,13.74,7.6,0.553129549
23/05/2025,control,C3,37.8,,13.74,7.6,0.553129549
23/05/2025,control,C3,35,,13.74,7.6,0.553129549
23/05/2025,control,C3,39.2,,13.74,7.6,0.553129549
23/05/2025,control,C3,39.9,,13.74,7.6,0.553129549
23/05/2025,control,C3,43.2,,13.74,7.6,0.553129549
23/05/2025,control,C3,44.2,,13.74,7.6,0.553129549
23/05/2025,control,C3,47.2,,13.74,7.6,0.553129549
23/05/2025,control,C3,38.7,,13.74,7.6,0.553129549
23/05/2025,control,C3,37.8,,13.74,7.6,0.553129549
23/05/2025,control,C3,24.4,,13.74,7.6,0.553129549
23/05/2025,control,C3,36.1,,13.74,7.6,0.553129549
23/05/2025,control,C3,34.6,,13.74,7.6,0.553129549
23/05/2025,control,C3,42.2,,13.74,7.6,0.553129549
23/05/2025,control,C3,54.4,,13.74,7.6,0.553129549
23/05/2025,control,C3,31.8,,13.74,7.6,0.553129549
23/05/2025,control,C3,35.6,,13.74,7.6,0.553129549
23/05/2025,control,C3,30.6,,13.74,7.6,0.553129549
23/05/2025,control,C3,57.2,,13.74,7.6,0.553129549
23/05/2025,control,C3,28.3,,13.74,7.6,0.553129549
23/05/2025,control,C3,28.2,,13.74,7.6,0.553129549
23/05/2025,control,C3,50.7,,13.74,7.6,0.553129549
23/05/2025,control,C3,34.5,,13.74,7.6,0.553129549
23/05/2025,control,C3,33.2,,13.74,7.6,0.553129549
23/05/2025,control,C3,50.6,,13.74,7.6,0.553129549
23/05/2025,control,C3,34.2,,13.74,7.6,0.553129549
23/05/2025,control,C3,37.9,,13.74,7.6,0.553129549
23/05/2025,control,C3,55.8,,13.74,7.6,0.553129549
23/05/2025,control,C3,15.4,,13.74,7.6,0.553129549
23/05/2025,control,C3,34.2,,13.74,7.6,0.553129549
23/05/2025,control,C3,34.1,,13.74,7.6,0.553129549
23/05/2025,control,C3,32.5,,13.74,7.6,0.553129549
23/05/2025,control,C3,45.5,,13.74,7.6,0.553129549
23/05/2025,control,C3,42.5,,13.74,7.6,0.553129549
23/05/2025,control,C3,40.8,,13.74,7.6,0.553129549
23/05/2025,control,C3,41.7,,13.74,7.6,0.553129549
23/05/2025,control,C3,45.5,,13.74,7.6,0.553129549
27/05/2025,shaded,S1,22.6,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,22.4,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,24.7,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,20.2,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,40.8,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,36.5,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,19.7,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,34.8,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,25.1,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,22,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,23.4,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,28.5,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,22.6,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,21.1,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,33.7,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,17.2,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,40.7,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,39.2,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,21.8,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,46.2,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,26.1,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,28.8,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,17.4,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,34.9,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,16.9,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,40.5,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,29.3,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,43.2,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,50.5,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,24.5,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,41.9,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,36.6,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,37.2,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,40.7,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,33.5,,11.67,6.8,0.58269066
