receivedAt,Unnamed: 0_mean,Unnamed: 0_std,dewpoint_mean_mean,dewpoint_mean_std,temperature_mean_mean,temperature_mean_std,humidity_mean_mean,humidity_mean_std,vaporPressureDeficit_mean_mean,vaporPressureDeficit_mean_std,dewpoint_max_mean,dewpoint_max_std,temperature_max_mean,temperature_max_std,humidity_max_mean,humidity_max_std,vaporPressureDeficit_max_mean,vaporPressureDeficit_max_std,dewpoint_min_mean,dewpoint_min_std,temperature_min_mean,temperature_min_std,humidity_min_mean,humidity_min_std,vaporPressureDeficit_min_mean,vaporPressureDeficit_min_std
2024-07-27 00:00:00+00:00,27.0,0.0,21.211111111111112,0.0,26.462499999999995,0.0,75.18472222222222,0.0,1.0963888888888889,0.0,28.2,0.0,36.9,0.0,96.2,0.0,3.58,0.0,17.0,0.0,18.2,0.0,42.6,0.0,0.09000000000000001,0.0
2024-07-28 00:00:00+00:00,28.0,0.0,21.97183098591549,0.0,26.236619718309857,0.0,79.5112676056338,0.0,0.9383098591549296,0.0,29.0,0.0,38.7,0.0,97.8,0.0,3.94,0.0,17.6,0.0,18.0,0.0,42.70000000000001,0.0,0.05000000000000001,0.0
2024-07-29 00:00:00+00:00,29.0,0.0,21.44305555555556,0.0,25.94027777777778,0.0,78.13194444444444,0.0,0.9368055555555556,0.0,27.600000000000005,0.0,37.7,0.0,95.7,0.0,3.3800000000000003,0.0,17.9,0.0,18.7,0.0,48.1,0.0,0.09000000000000001,0.0
2024-07-30 00:00:00+00:00,30.0,0.0,21.791666666666668,0.0,25.469444444444445,0.0,81.97361111111111,0.0,0.7780555555555556,0.0,29.100000000000005,0.0,35.9,0.0,97.40000000000002,0.0,2.84,0.0,17.7,0.0,18.4,0.0,51.79999999999999,0.0,0.06,0.0
2024-07-31 00:00:00+00:00,31.0,0.0,22.928169014084506,0.0,25.905633802816897,0.0,85.05492957746479,0.0,0.6607042253521126,0.0,29.7,0.0,35.2,0.0,98.40000000000002,0.0,2.7099999999999995,0.0,17.9,0.0,18.2,0.0,49.70000000000001,0.0,0.03,0.0
2024-08-01 00:00:00+00:00,32.0,0.0,21.07183098591549,0.0,23.818309859154926,0.0,85.69154929577466,0.0,0.5305633802816901,0.0,28.8,0.0,34.3,0.0,97.5,0.0,2.19,0.0,17.4,0.0,18.3,0.0,56.20000000000001,0.0,0.06,0.0
2024-08-02 00:00:00+00:00,33.0,0.0,19.95138888888889,0.0,22.25,0.0,87.39861111111111,0.0,0.39666666666666667,0.0,27.600000000000005,0.0,31.600000000000005,0.0,95.8,0.0,1.62,0.0,16.1,0.0,16.9,0.0,61.29999999999999,0.0,0.08,0.0
2024-08-03 00:00:00+00:00,34.0,0.0,20.154166666666665,0.0,23.22361111111111,0.0,83.85,0.0,0.54625,0.0,29.399999999999995,0.0,34.5,0.0,96.7,0.0,2.13,0.0,15.9,0.0,16.5,0.0,56.70000000000001,0.0,0.06,0.0
2024-08-04 00:00:00+00:00,35.0,0.0,20.356944444444444,0.0,23.873611111111117,0.0,81.275,0.0,0.6131944444444444,0.0,26.399999999999995,0.0,32.9,0.0,92.40000000000002,0.0,1.8099999999999998,0.0,16.2,0.0,17.8,0.0,60.70000000000001,0.0,0.16,0.0
2024-08-05 00:00:00+00:00,36.0,0.0,21.459722222222226,0.0,25.162500000000005,0.0,81.2486111111111,0.0,0.7494444444444445,0.0,29.399999999999995,0.0,36.4,0.0,94.90000000000002,0.0,3.17,0.0,17.6,0.0,19.1,0.0,44.79999999999999,0.0,0.12,0.0
2024-08-06 00:00:00+00:00,37.0,0.0,21.093055555555555,0.0,25.859722222222228,0.0,77.12777777777778,0.0,1.0084722222222222,0.0,28.3,0.0,37.8,0.0,95.3,0.0,3.42,0.0,17.7,0.0,18.5,0.0,46.70000000000001,0.0,0.10000000000000002,0.0
2024-08-07 00:00:00+00:00,38.0,0.0,18.876388888888886,0.0,21.90138888888889,0.0,84.63194444444444,0.0,0.5641666666666666,0.0,27.8,0.0,36.0,0.0,96.8,0.0,2.58,0.0,16.1,0.0,16.6,0.0,52.20000000000001,0.0,0.06,0.0
2024-08-08 00:00:00+00:00,39.0,0.0,19.91304347826087,0.0,24.08550724637681,0.0,80.23768115942029,0.0,0.8560869565217392,0.0,29.600000000000005,0.0,35.8,0.0,98.0,0.0,2.93,0.0,15.300000000000002,0.0,15.699999999999998,0.0,45.79999999999999,0.0,0.04,0.0
2024-08-09 00:00:00+00:00,40.0,0.0,21.422222222222228,0.0,25.25,0.0,82.28611111111111,0.0,0.8852777777777779,0.0,28.7,0.0,37.6,0.0,99.2,0.0,3.48,0.0,16.0,0.0,16.1,0.0,45.20000000000001,0.0,0.01,0.0
2024-08-10 00:00:00+00:00,41.0,0.0,22.183561643835617,0.0,26.14520547945205,0.0,81.34246575342466,0.0,0.9315068493150683,0.0,28.100000000000005,0.0,37.9,0.0,99.2,0.0,3.24,0.0,17.5,0.0,17.6,0.0,50.79999999999999,0.0,0.02,0.0
2024-08-11 00:00:00+00:00,42.0,0.0,23.48857142857143,0.0,26.87,0.0,82.84571428571428,0.0,0.7785714285714286,0.0,31.8,0.0,37.2,0.0,97.3,0.0,2.23,0.0,17.8,0.0,18.3,0.0,58.4,0.0,0.06,0.0
2024-08-12 00:00:00+00:00,43.0,0.0,22.827777777777772,0.0,26.17361111111111,0.0,82.8736111111111,0.0,0.728611111111111,0.0,31.2,0.0,36.9,0.0,97.3,0.0,2.68,0.0,18.0,0.0,18.5,0.0,56.6,0.0,0.06,0.0
2024-08-13 00:00:00+00:00,44.0,0.0,20.605555555555554,0.0,24.67361111111111,0.0,80.52777777777777,0.0,0.857361111111111,0.0,27.899999999999995,0.0,38.2,0.0,98.59999999999998,0.0,3.17,0.0,17.3,0.0,17.5,0.0,49.1,0.0,0.03,0.0
2024-08-14 00:00:00+00:00,45.0,0.0,19.479166666666668,0.0,20.72083333333333,0.0,92.90833333333332,0.0,0.2018055555555555,0.0,26.100000000000005,0.0,30.8,0.0,99.3,0.0,1.06,0.0,16.5,0.0,16.8,0.0,76.1,0.0,0.01,0.0
2024-08-15 00:00:00+00:00,46.0,0.0,20.086111111111112,0.0,22.76944444444445,0.0,85.99722222222222,0.0,0.5116666666666667,0.0,26.8,0.0,32.6,0.0,98.90000000000002,0.0,1.82,0.0,15.1,0.0,15.4,0.0,57.70000000000001,0.0,0.02,0.0
2024-08-16 00:00:00+00:00,47.0,0.0,21.15833333333333,0.0,24.15833333333333,0.0,85.15416666666667,0.0,0.6223611111111111,0.0,28.5,0.0,33.0,0.0,98.90000000000002,0.0,2.16,0.0,16.4,0.0,16.9,0.0,56.1,0.0,0.02,0.0
