receivedAt,Unnamed: 0_mean,Unnamed: 0_std,dewpoint_mean_mean,dewpoint_mean_std,temperature_mean_mean,temperature_mean_std,humidity_mean_mean,humidity_mean_std,vaporPressureDeficit_mean_mean,vaporPressureDeficit_mean_std,dewpoint_max_mean,dewpoint_max_std,temperature_max_mean,temperature_max_std,humidity_max_mean,humidity_max_std,vaporPressureDeficit_max_mean,vaporPressureDeficit_max_std,dewpoint_min_mean,dewpoint_min_std,temperature_min_mean,temperature_min_std,humidity_min_mean,humidity_min_std,vaporPressureDeficit_min_mean,vaporPressureDeficit_min_std,t_above_threshold_mean,t_above_threshold_std,photosyntheticallyActiveRadiation_mean_mean
2024-07-02 22:00:00+00:00,48.0,,16.033333333333335,,17.599999999999998,,90.7,,0.1866666666666666,,16.3,,17.9,,90.8,,0.19,,15.7,,17.2,,90.6,,0.18,,0.0,,0.0
2024-07-02 23:00:00+00:00,49.0,,14.533333333333331,,15.933333333333332,,91.43333333333334,,0.1566666666666666,,15.2,,16.7,,91.9,,0.17,,14.1,,15.4,,91.2,,0.14,,0.0,,0.0
2024-07-03 00:00:00+00:00,50.0,,14.466666666666669,,15.5,,93.5,,0.1133333333333333,,14.6,,15.6,,93.7,,0.12,,14.4,,15.4,,93.1,,0.11,,0.0,,0.0
2024-07-03 01:00:00+00:00,51.0,,14.5,,15.433333333333332,,94.36666666666667,,0.0999999999999999,,14.6,,15.5,,94.7,,0.11,,14.3,,15.3,,93.9,,0.09,,0.0,,0.0
2024-07-03 02:00:00+00:00,52.0,,14.666666666666666,,15.466666666666669,,95.0,,0.09,,14.7,,15.5,,95.0,,0.09,,14.6,,15.4,,95.0,,0.09,,0.0,,0.0
2024-07-03 03:00:00+00:00,53.0,,14.6,,15.4,,95.2,,0.0833333333333333,,14.6,,15.4,,95.3,,0.09,,14.6,,15.4,,95.1,,0.08,,0.0,,2.1333333333333333
2024-07-03 04:00:00+00:00,54.0,,14.633333333333333,,15.533333333333331,,94.53333333333336,,0.1,,14.7,,15.6,,94.6,,0.1,,14.6,,15.5,,94.4,,0.1,,0.0,,20.73333333333333
2024-07-03 05:00:00+00:00,55.0,,14.866666666666667,,16.900000000000002,,88.03333333333335,,0.2299999999999999,,15.1,,17.7,,91.6,,0.31,,14.5,,15.9,,84.5,,0.15,,0.0,,161.4
2024-07-03 06:00:00+00:00,56.0,,14.866666666666667,,18.3,,80.60000000000001,,0.42,,16.0,,20.4,,84.8,,0.58,,13.9,,16.5,,76.0,,0.29,,0.0,,215.76666666666665
2024-07-03 07:00:00+00:00,57.0,,14.966666666666669,,19.933333333333334,,73.26666666666667,,0.6233333333333334,,15.0,,20.3,,74.3,,0.68,,14.9,,19.7,,71.3,,0.59,,0.0,,275.56666666666666
2024-07-03 08:00:00+00:00,58.0,,15.066666666666668,,22.166666666666668,,64.56666666666666,,0.9566666666666668,,15.5,,23.5,,71.6,,1.23,,14.6,,20.9,,57.6,,0.7,,0.0,,488.6
2024-07-03 09:00:00+00:00,59.0,,15.4,,22.866666666666664,,62.93333333333334,,1.0366666666666666,,15.9,,23.7,,66.0,,1.22,,15.1,,21.9,,58.5,,0.89,,0.0,,400.7
2024-07-03 10:00:00+00:00,60.0,,15.8,,24.9,,57.16666666666666,,1.3533333333333335,,16.1,,25.5,,60.4,,1.51,,15.4,,24.1,,53.7,,1.19,,0.0,,613.6999999999999
2024-07-03 11:00:00+00:00,61.0,,15.866666666666664,,22.9,,64.73333333333333,,0.9833333333333334,,16.4,,23.6,,65.7,,1.04,,15.5,,22.3,,64.2,,0.92,,0.0,,292.96666666666664
