,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean,dewpoint_max,temperature_max,humidity_max,vaporPressureDeficit_max,dewpoint_min,temperature_min,humidity_min,vaporPressureDeficit_min,t_above_threshold,temperature_daytime_mean,temperature_nighttime_mean
30,2025-05-03 00:00:00+00:00,14.341666666666667,18.408333333333335,79.80277777777778,0.6206944444444444,14.895833333333334,19.400000000000002,82.05,0.75875,13.808333333333332,17.541666666666668,77.05416666666666,0.5033333333333333,0,23.11190476190476,11.823333333333334
31,2025-05-04 00:00:00+00:00,13.493055555555555,18.45,76.3888888888889,0.7494444444444445,14.237499999999999,19.3875,79.48333333333333,0.89875,12.833333333333334,17.708333333333332,73.47916666666667,0.62,0,23.142857142857142,11.88
32,2025-05-05 00:00:00+00:00,13.25,15.530555555555557,87.78333333333335,0.29791666666666666,13.799999999999999,16.704166666666666,90.33333333333333,0.4391666666666667,12.783333333333333,14.637500000000001,84.58749999999999,0.2004166666666667,0,17.423809523809524,12.88
33,2025-05-06 00:00:00+00:00,12.140277777777778,14.021527777777777,89.41250000000001,0.21020833333333333,12.341666666666667,14.420833333333334,90.7,0.245,11.954166666666666,13.654166666666667,88.10000000000001,0.1758333333333333,0,16.008333333333333,11.24
34,2025-05-07 00:00:00+00:00,11.651388888888889,13.027777777777777,91.79444444444444,0.13819444444444445,11.845833333333333,13.362499999999999,93.19583333333333,0.16874999999999998,11.466666666666667,12.704166666666666,90.23333333333333,0.11208333333333333,0,14.435714285714285,11.056666666666667
35,2025-05-08 00:00:00+00:00,11.113888888888889,14.391666666666667,84.48194444444444,0.4375,11.5625,15.154166666666667,86.62916666666666,0.5270833333333333,10.691666666666668,13.620833333333332,82.625,0.34625,0,17.69761904761905,9.763333333333334
36,2025-05-09 00:00:00+00:00,11.286111111111111,14.841666666666667,81.68333333333332,0.42236111111111113,11.816666666666668,15.866666666666667,84.3875,0.5570833333333333,10.670833333333334,13.879166666666668,78.71666666666667,0.3070833333333333,0,17.678571428571427,10.870000000000001
37,2025-05-10 00:00:00+00:00,11.637500000000001,16.17222222222222,78.4486111111111,0.6102777777777778,12.204166666666666,17.241666666666667,81.66250000000001,0.7529166666666667,11.041666666666666,15.120833333333332,75.52916666666667,0.4716666666666667,0,20.25,10.463333333333333
38,2025-05-11 00:00:00+00:00,11.85138888888889,18.630555555555556,71.55833333333334,1.1083333333333332,12.716666666666667,19.766666666666666,74.675,1.2970833333333334,11.008333333333333,17.341666666666665,68.59583333333333,0.90875,0,25.557142857142857,8.933333333333334
39,2025-05-12 00:00:00+00:00,11.804166666666667,17.005555555555556,76.30277777777778,0.7725,12.262500000000001,18.0,79.40833333333333,0.9179166666666667,11.320833333333333,15.845833333333333,73.58333333333333,0.5895833333333333,0,21.86190476190476,10.206666666666667
