,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean
909,2025-05-11 07:00:00+00:00,15.533333333333333,25.8,53.23333333333333,1.5599999999999998
910,2025-05-11 08:00:00+00:00,16.833333333333332,28.733333333333334,48.699999999999996,2.0233333333333334
911,2025-05-11 09:00:00+00:00,15.566666666666668,29.866666666666664,41.96666666666667,2.4433333333333334
912,2025-05-11 10:00:00+00:00,15.666666666666666,29.733333333333334,42.833333333333336,2.433333333333333
913,2025-05-11 11:00:00+00:00,16.833333333333332,31.733333333333334,40.96666666666667,2.7733333333333334
914,2025-05-11 12:00:00+00:00,15.766666666666666,31.5,38.800000000000004,2.8966666666666665
915,2025-05-11 13:00:00+00:00,14.299999999999999,31.833333333333332,34.5,3.0966666666666662
916,2025-05-11 14:00:00+00:00,16.099999999999998,34.46666666666667,33.63333333333333,3.646666666666667
917,2025-05-11 15:00:00+00:00,14.866666666666667,32.43333333333333,34.699999999999996,3.1933333333333334
918,2025-05-11 16:00:00+00:00,11.766666666666666,23.8,47.03333333333333,1.5866666666666667
919,2025-05-11 17:00:00+00:00,11.266666666666666,17.766666666666666,66.0,0.7000000000000001
920,2025-05-11 18:00:00+00:00,10.833333333333334,14.433333333333332,79.2,0.3433333333333333
921,2025-05-11 19:00:00+00:00,10.466666666666667,12.733333333333334,86.16666666666667,0.20333333333333334
922,2025-05-11 20:00:00+00:00,10.4,12.066666666666668,89.53333333333335,0.14666666666666667
923,2025-05-11 21:00:00+00:00,9.9,11.0,92.76666666666667,0.09666666666666666
924,2025-05-11 22:00:00+00:00,9.433333333333332,10.166666666666666,95.43333333333334,0.06
925,2025-05-11 23:00:00+00:00,8.966666666666667,9.366666666666667,97.33333333333333,0.03333333333333333
926,2025-05-12 00:00:00+00:00,8.333333333333334,8.533333333333333,98.66666666666667,0.016666666666666666
927,2025-05-12 01:00:00+00:00,7.6000000000000005,7.733333333333333,99.16666666666667,0.01
928,2025-05-12 02:00:00+00:00,7.133333333333333,7.2,99.56666666666666,0.006666666666666667
929,2025-05-12 03:00:00+00:00,6.666666666666667,6.666666666666667,99.89999999999999,0.0
930,2025-05-12 04:00:00+00:00,8.6,8.65,99.6,0.005
931,2025-05-12 05:00:00+00:00,11.533333333333333,14.233333333333334,84.46666666666667,0.27
932,2025-05-12 06:00:00+00:00,13.533333333333333,21.333333333333332,61.300000000000004,0.9899999999999999
933,2025-05-12 07:00:00+00:00,14.233333333333334,21.599999999999998,63.03333333333333,0.9733333333333333
934,2025-05-12 08:00:00+00:00,16.933333333333334,29.233333333333334,47.666666666666664,2.1266666666666665
935,2025-05-12 09:00:00+00:00,18.333333333333332,31.03333333333333,46.76666666666667,2.3966666666666665
936,2025-05-12 10:00:00+00:00,17.733333333333334,30.2,47.26666666666667,2.2633333333333336
937,2025-05-12 11:00:00+00:00,19.266666666666666,31.03333333333333,49.96666666666667,2.35
938,2025-05-12 12:00:00+00:00,15.200000000000001,29.866666666666664,41.36666666666667,2.5533333333333332
939,2025-05-12 13:00:00+00:00,11.200000000000001,19.866666666666667,57.56666666666666,0.9866666666666667
940,2025-05-12 14:00:00+00:00,12.033333333333333,18.933333333333334,64.66666666666667,0.7766666666666667
941,2025-05-12 15:00:00+00:00,13.299999999999999,18.066666666666666,73.76666666666667,0.5433333333333333
942,2025-05-12 16:00:00+00:00,13.266666666666666,17.400000000000002,76.86666666666666,0.45999999999999996
943,2025-05-12 17:00:00+00:00,12.4,14.933333333333332,84.89999999999999,0.26
944,2025-05-12 18:00:00+00:00,11.966666666666667,13.4,91.23333333333333,0.13333333333333333
945,2025-05-12 19:00:00+00:00,11.833333333333334,13.266666666666666,91.13333333333333,0.13333333333333333
946,2025-05-12 20:00:00+00:00,11.933333333333332,13.166666666666666,92.36666666666667,0.11666666666666665
947,2025-05-12 21:00:00+00:00,11.933333333333332,12.966666666666667,93.5,0.09333333333333334
948,2025-05-12 22:00:00+00:00,11.9,12.766666666666666,94.60000000000001,0.08
949,2025-05-12 23:00:00+00:00,11.866666666666667,12.566666666666668,95.46666666666665,0.06666666666666667
950,2025-05-13 00:00:00+00:00,11.833333333333334,12.333333333333334,96.89999999999999,0.043333333333333335
951,2025-05-13 01:00:00+00:00,11.766666666666666,12.199999999999998,97.3,0.04
952,2025-05-13 02:00:00+00:00,11.633333333333333,12.1,97.13333333333333,0.04
953,2025-05-13 03:00:00+00:00,11.6,12.0,97.40000000000002,0.04
954,2025-05-13 04:00:00+00:00,11.766666666666666,12.266666666666666,96.8,0.04666666666666667
955,2025-05-13 05:00:00+00:00,12.133333333333333,13.033333333333333,94.36666666666667,0.08333333333333333
956,2025-05-13 06:00:00+00:00,12.833333333333334,14.666666666666666,88.86666666666667,0.19333333333333336
957,2025-05-13 07:00:00+00:00,13.266666666666666,16.400000000000002,81.83333333333333,0.34
958,2025-05-13 08:00:00+00:00,14.433333333333332,19.166666666666668,74.3,0.5733333333333334
959,2025-05-13 09:00:00+00:00,16.099999999999998,23.7,62.56666666666666,1.1066666666666667
960,2025-05-13 10:00:00+00:00,17.2,26.7,56.03333333333334,1.5433333333333332
961,2025-05-13 11:00:00+00:00,14.0,23.3,56.46666666666667,1.29
962,2025-05-13 12:00:00+00:00,14.4,18.166666666666668,78.83333333333333,0.44
963,2025-05-13 13:00:00+00:00,19.0,28.099999999999998,59.13333333333333,1.7333333333333332
964,2025-05-13 14:00:00+00:00,20.46666666666667,32.56666666666667,48.96666666666667,2.513333333333333
965,2025-05-13 15:00:00+00:00,15.5,24.133333333333336,58.699999999999996,1.26
966,2025-05-13 16:00:00+00:00,13.866666666666667,20.933333333333334,66.2,0.9433333333333334
967,2025-05-13 17:00:00+00:00,13.533333333333333,14.199999999999998,95.86666666666667,0.06666666666666667
968,2025-05-13 18:00:00+00:00,12.566666666666668,13.033333333333333,97.0,0.04666666666666667
969,2025-05-13 19:00:00+00:00,12.6,12.9,98.10000000000001,0.03
970,2025-05-13 20:00:00+00:00,12.5,12.799999999999999,98.13333333333333,0.02666666666666667
971,2025-05-13 21:00:00+00:00,12.366666666666667,12.633333333333333,98.26666666666667,0.023333333333333334
972,2025-05-13 22:00:00+00:00,12.033333333333333,12.366666666666667,98.0,0.02666666666666667
973,2025-05-13 23:00:00+00:00,11.233333333333334,11.666666666666666,97.2,0.03666666666666667
974,2025-05-14 00:00:00+00:00,9.700000000000001,9.966666666666667,98.26666666666667,0.02
975,2025-05-14 01:00:00+00:00,8.799999999999999,9.1,98.03333333333335,0.02
976,2025-05-14 02:00:00+00:00,8.1,8.200000000000001,99.16666666666667,0.01
