,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean,dewpoint_max,temperature_max,humidity_max,vaporPressureDeficit_max,dewpoint_min,temperature_min,humidity_min,vaporPressureDeficit_min,temperature_daytime_mean,temperature_nighttime_mean,humidity_daytime_mean,humidity_nighttime_mean,vaporPressureDeficit_daytime_mean,vaporPressureDeficit_nighttime_mean
40,2025-05-13 00:00:00+00:00,13.527777777777779,17.050694444444446,82.89097222222222,0.5200694444444445,18.233333333333334,31.3,99.40000000000002,2.4933333333333336,11.533333333333333,11.633333333333333,45.73333333333333,0.01,20.41547619047619,12.34,72.33928571428571,97.66333333333333,0.8670238095238095,0.034333333333333334
41,2025-05-14 00:00:00+00:00,12.875,19.22361111111111,72.14861111111111,1.0250000000000001,18.166666666666668,34.800000000000004,100.0,3.4933333333333336,8.066666666666666,8.066666666666666,37.266666666666666,0.0,25.49047619047619,10.45,54.50238095238095,96.85333333333332,1.7257142857142858,0.044
42,2025-05-15 00:00:00+00:00,12.9,19.895833333333332,69.87916666666666,1.1702777777777778,18.099999999999998,33.0,99.76666666666667,3.42,8.233333333333334,8.266666666666667,32.766666666666666,0.0,26.485714285714288,10.67,52.67619047619048,93.96333333333334,1.9433333333333334,0.088
43,2025-05-16 00:00:00+00:00,8.945833333333333,16.48888888888889,67.13194444444444,0.9343055555555556,13.466666666666667,28.3,95.56666666666666,2.6033333333333335,5.8,7.366666666666667,32.1,0.04666666666666667,21.78809523809524,9.07,49.08333333333333,92.4,1.5347619047619048,0.09366666666666668
44,2025-05-17 00:00:00+00:00,8.47638888888889,17.07638888888889,63.15833333333333,1.1280555555555556,13.299999999999999,30.933333333333334,98.16666666666667,2.966666666666667,3.9333333333333336,4.166666666666667,31.666666666666668,0.013333333333333334,23.754761904761903,7.726666666666667,44.614285714285714,89.12,1.8378571428571429,0.13433333333333333
45,2025-05-18 00:00:00+00:00,11.065277777777778,19.11111111111111,65.01805555555556,1.219861111111111,16.066666666666666,33.93333333333333,97.73333333333333,3.486666666666667,4.933333333333334,5.266666666666667,34.199999999999996,0.02,26.08095238095238,9.353333333333333,47.945238095238096,88.92,1.9828571428571427,0.15166666666666667
46,2025-05-19 00:00:00+00:00,13.450000000000001,20.494444444444444,69.76388888888889,1.2072222222222222,18.066666666666666,35.233333333333334,98.43333333333334,3.64,6.666666666666667,6.8999999999999995,36.0,0.016666666666666666,27.20952380952381,11.093333333333334,53.17857142857143,92.98333333333333,1.993095238095238,0.10700000000000001
47,2025-05-20 00:00:00+00:00,14.181944444444445,16.11388888888889,89.18194444444445,0.24861111111111112,17.666666666666668,23.96666666666667,100.0,0.9566666666666667,11.0,11.0,67.93333333333334,0.0,18.383333333333333,12.936666666666667,84.21904761904761,96.13,0.3816666666666667,0.06233333333333334
48,2025-05-21 00:00:00+00:00,14.5875,16.804166666666667,88.00277777777778,0.3090277777777778,22.3,27.366666666666664,100.0,1.27,11.066666666666668,11.066666666666668,61.800000000000004,0.0,20.011904761904763,12.313333333333334,80.25238095238095,98.85333333333332,0.5161904761904762,0.019
49,2025-05-22 00:00:00+00:00,12.29027777777778,13.10138888888889,95.16111111111111,0.08763888888888888,15.866666666666667,20.666666666666668,100.0,0.6333333333333333,9.966666666666667,9.966666666666667,74.16666666666667,0.0,14.026190476190477,11.806666666666667,91.77857142857144,99.89666666666668,0.14928571428571427,0.0013333333333333335
50,2025-05-23 00:00:00+00:00,11.940277777777778,16.900000000000002,76.88472222222222,0.7208333333333332,17.733333333333334,30.533333333333335,100.0,2.373333333333333,8.166666666666666,8.466666666666667,45.199999999999996,0.0,21.916666666666664,9.876666666666667,61.42619047619048,98.52666666666667,1.2221428571428572,0.019
51,2025-05-24 00:00:00+00:00,11.85138888888889,17.190277777777776,75.96944444444445,0.8020833333333334,16.5,30.53333333333333,100.0,2.52,8.066666666666666,8.066666666666666,42.73333333333333,0.0,22.645238095238092,9.553333333333333,60.58095238095238,97.51333333333334,1.3473809523809523,0.03866666666666667
52,2025-05-25 00:00:00+00:00,12.1875,17.241666666666667,76.71527777777779,0.7366666666666667,17.166666666666668,29.166666666666668,100.0,2.3000000000000003,6.666666666666667,6.666666666666667,43.1,0.0,22.811904761904763,9.443333333333333,61.154761904761905,98.5,1.2473809523809525,0.021666666666666667
53,2025-05-26 00:00:00+00:00,14.811805555555557,21.20763888888889,72.04444444444444,1.202013888888889,22.7,36.56666666666667,100.0,3.3866666666666667,8.666666666666666,8.666666666666666,41.43333333333334,0.0,27.914285714285715,11.818333333333333,55.469047619047615,95.25,2.0038095238095237,0.0795
54,2025-05-27 00:00:00+00:00,13.87361111111111,16.30138888888889,87.30555555555556,0.3433333333333333,17.8,27.46666666666667,100.0,1.6933333333333334,9.366666666666667,9.366666666666667,53.96666666666667,0.0,19.21666666666667,12.22,79.42857142857143,98.33333333333334,0.5695238095238095,0.026666666666666672
55,2025-05-28 00:00:00+00:00,15.194444444444445,19.82777777777778,79.33472222222223,0.8295833333333333,19.8,33.166666666666664,100.0,2.7866666666666666,9.466666666666667,9.466666666666667,45.199999999999996,0.0,25.440476190476193,11.97,64.68095238095238,99.85,1.4204761904761904,0.002333333333333333
56,2025-05-29 00:00:00+00:00,13.668055555555554,21.993055555555554,67.06388888888888,1.51625,24.0,36.03333333333333,100.0,4.26,9.066666666666666,9.133333333333333,28.3,0.0,29.61190476190476,11.326666666666666,46.92857142857143,95.25333333333333,2.55047619047619,0.06833333333333333
