waterTension;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
7;100;3530;2024-07-02T09:52:00.927480959Z;1038;santorsola-tensio-5
7;100;3528;2024-07-02T10:12:00.844405019Z;1038;santorsola-tensio-5
7;100;3528;2024-07-02T10:32:00.851990558Z;1038;santorsola-tensio-5
7;100;3526;2024-07-02T10:52:00.776832699Z;1038;santorsola-tensio-5
7;100;3526;2024-07-02T11:12:00.774500197Z;1038;santorsola-tensio-5
7;100;3525;2024-07-02T11:32:00.771397896Z;1038;santorsola-tensio-5
7;100;3525;2024-07-02T11:52:00.683696112Z;1038;santorsola-tensio-5
7;100;3523;2024-07-02T12:12:00.763205462Z;1038;santorsola-tensio-5
7;100;3521;2024-07-02T12:32:00.606989120Z;1038;santorsola-tensio-5
7;100;3521;2024-07-02T12:52:00.612222099Z;1038;santorsola-tensio-5
8;100;3525;2024-07-02T13:12:00.618016502Z;1038;santorsola-tensio-5
7;100;3523;2024-07-02T13:32:00.532474895Z;1038;santorsola-tensio-5
7;100;3528;2024-07-02T13:52:00.606259636Z;1038;santorsola-tensio-5
6;100;3533;2024-07-02T14:12:00.450329706Z;1038;santorsola-tensio-5
7;100;3532;2024-07-02T14:32:00.518854600Z;1038;santorsola-tensio-5
7;100;3533;2024-07-02T14:52:00.365709606Z;1038;santorsola-tensio-5
6;100;3535;2024-07-02T15:12:00.296820240Z;1038;santorsola-tensio-5
7;100;3535;2024-07-02T15:32:00.249256882Z;1038;santorsola-tensio-5
7;100;3535;2024-07-02T15:52:00.203790594Z;1038;santorsola-tensio-5
6;100;3535;2024-07-02T16:52:00.077594692Z;1038;santorsola-tensio-5
7;100;3535;2024-07-02T17:12:00.006812506Z;1038;santorsola-tensio-5
6;100;3535;2024-07-02T17:31:59.956754719Z;1038;santorsola-tensio-5
7;100;3533;2024-07-02T17:51:59.899073529Z;1038;santorsola-tensio-5
6;100;3533;2024-07-02T18:11:59.834527261Z;1038;santorsola-tensio-5
7;100;3532;2024-07-02T18:31:59.785918258Z;1038;santorsola-tensio-5
6;100;3532;2024-07-02T18:51:59.717787374Z;1038;santorsola-tensio-5
6;100;3530;2024-07-02T19:31:59.610118471Z;1038;santorsola-tensio-5
